,title,tags
0,Scientists Politely Remind World That Clean Energy Technology Ready To Go Whenever,"SEE MORE: Science & Technology, Opinion, News in Brief, Vol 50 Issue 20, Science & Technology"
1,Microsoft Paint Being Phased Out,"SEE MORE: Opinion, American Voices, Opinion, Vol 53 Issue 29"
2,India Moves To Ban Self-Driving Cars,"American Voices, Opinion, Vol 53 Issue 29, SEE MORE: American Voices"
3,Hydra Decides To See Doctor About Painful Ingrown Head,"News, doctors, SEE MORE: News, Opinion, News in Brief, Vol 53 Issue 36, World, animals, Our Annual Year 2017"
4,Recently Canonized Martyr Added To Vatican’s Animatronic Hall Of Saints,"News, Vol 53 Issue 35, SEE MORE: News, Opinion, News in Brief, World, religion"
5,World Health Organization Releases Top 10 Most Fucked Up Causes Of Death,"News, SEE MORE: News, Opinion, News in Brief, Vol 53 Issue 39, World, death"
6,Vatican City Zoo Struggling To Breed First Angel In Captivity,"News, Religion, Opinion, World, VOL 53 ISSUE 43, SEE MORE: Religion"
7,Our Annual Year 2017,
8,How To Drive Safely In Winter Conditions,"SEE MORE: Lifestyle, Infographic, Opinion, Lifestyle, automotive, Vol 51 Issue 01"
9,New Evidence Suggests Ancient Egyptians Only Ever Visited Pyramids When Friends Were In From Out Of Town,"News, Friends, Opinion, Vol 54 Issue 02, SEE MORE: History, History"
10,Historians Uncover Evidence Stonehenge Once Prominent Druid Make-Out Spot,"History, SEE MORE: History, Opinion, Vol 53 Issue 50, News"
11,Historians Still Unable To Determine How Americans Were Able To Build Hoover Dam,"History, SEE MORE: History, Opinion, Vol 53 Issue 50, News"
12,Tips For Making The Perfect Cup Of Coffee,"Cooking, Opinion, Vol 54 Issue 03, SEE MORE: Video, Video"
13,Most Anticipated Films Of 2018,"Movies, Opinion, Entertainment, Video, Vol 54 Issue 03, SEE MORE: Video"
14,How To Talk To A Family Member About Politics And Also The Fact That Their New Jewelry Business Is A Pyramid Scheme,"Politics, Vol 53 Issue 46, Family, Opinion, Video, SEE MORE: Video"
15,U.S. Faces Cauliflower Shortage,"SEE MORE: Opinion, American Voices, Opinion, Vol 52 Issue 02"
16,Apple Unveils ‘HomePod’ Smart Speaker,"SEE MORE: Opinion, American Voices, Opinion, Vol 53 Issue 22"
17,How To Join The Priesthood,"SEE MORE: Lifestyle, Infographic, Opinion, Lifestyle, God, jobs, religion, Vol 52 Issue 02"
18,God Getting Strong Urge To Bring Back Dinosaurs,"News, SEE MORE: News, Vol 53 Issue 09, Opinion, News in Brief, God, religion"
19,God Sick Of New Angel’s Annoying Fucking Voice,"News, SEE MORE: News, Vol 53 Issue 08, Opinion, News in Brief, God, religion"
20,New AcneFree Treatment Ships Teens To Remote Island Colony For Remainder Of Puberty,"News, SEE MORE: Business, Opinion, teenagers, Vol 54 Issue 04, Business, Travel"
21,Logan Paul: 'I Didn’t Realize People Who Commit Suicide Kill Themselves',"Internet, Opinion, Vol 54 Issue 04, SEE MORE: Internet, News"
22,Tesla Model S Crashes Into Fire Truck While On Autopilot,"SEE MORE: Opinion, Opinion, Vol 54 Issue 04"
23,Plan B Releases New Heart-Shaped Tablets For Valentine’s Day,"News, SEE MORE: News, News in Photos, Opinion, Vol 52 Issue 05, drugs, pregnancy, health"
24,Universe Feels Zero Connection To Guy Tripping On Mushrooms,"News, SEE MORE: News, Opinion, News in Brief, Vol 52 Issue 14, drugs"
25,A Timeline Of Marijuana Legalization,"News, Vol 52 Issue 15, SEE MORE: News, Infographic, Opinion, marijuana, history, drugs"
26,'Bridge To 21st Century' Crap Forgotten,"News, SEE MORE: patriotism, patriotism, Opinion, Vol 31 Issue 08"
27,"It Would Be An Honor To Serve My Country, Return With PTSD, Sit On A Mental Health Care Waitlist, Then Kill Myself","SEE MORE: Opinion, Vol 48 Issue 33, Opinion, U.S. Army Pfc. Edwin Quinones, Commentary"
28,Heavy Police Presence In Ferguson To Ensure Residents Adequately Provoked,"News, SEE MORE: News, Opinion, News in Brief, police, Vol 50 Issue 47"
29,5 Things To Know About Megyn Kelly,"video, Opinion, television, media, SEE MORE: video"
30,Documentary About Plymouth Rock Throws In Some World War II To Keep People Interested,"Opinion, SEE MORE: history, News in Brief, history, Vol 53 Issue 14, television"
31,Experts Say Best Option Now Is Keeping Nation As Comfortable As Possible Till End,"SEE MORE: News, Vol 51 Issue 23, death, Opinion, News"
32,This Sure Is A Spooky Time For The Economy,"Economy, Paul Krugman, Opinion, Commentary, SEE MORE: Economy, Vol 47 Issue 43"
33,Department Of Health And Human Services Recommends Standing At Least Once A Day,"News, healthcare, SEE MORE: health, Opinion, Vol 47 Issue 05, health"
34,Vol 47 Issue 05,Opinion
35,"Natalee Holloway, Osama Bin Laden Celebrate 5-Year Wedding Anniversary","World, Opinion, News in Brief, Vol 47 Issue 05, SEE MORE: World"
36,"Instead of hiring a national repairman, should the U.S. government have attempted to fix the nation's infrastructure themselves?","SEE MORE: IFC, IFC, Opinion, Vol 47 Issue 05, Poll"
